bl_no,route,atd,schedule,pri,sheet
247888866,HAM-ANT-SIN-SHA,2025-02-01,2025-04-18,50,2025
247888853,HAM-ANT-SIN-SHA,2025-02-01,2025-04-14,50,2025
247895303,HAM-ANT-SIN-SHA,2025-02-01,2025-04-18,50,2025
247891221,HAM-ANT-SIN-SHA,2025-02-01,2025-04-18,50,2025
247889987,HAM-TAN-SHA,2025-02-06,2025-04-07,50,2025
247895304,HAM-TAN-SHA,2025-02-06,2025-03-26,50,2025
247891220,HAM-TAN-SHA,2025-02-06,2025-04-07,50,2025
248684758,HAM-TAN-SHA,2025-02-14,2025-04-14,50,2025
248684761,HAM-TAN-SHA,2025-02-14,2025-04-14,50,2025
248684755,HAM-TAN-SHA,2025-02-14,2025-04-14,50,2025
248684759,HAM-TAN-SHA,2025-02-17,2025-04-14,50,2025
248685323,HAM-TAN-SHA,2025-02-17,2025-04-14,50,2025
248684754,HAM-TAN-SHA,2025-02-17,2025-04-14,50,2025
249602089,HAM-TAN-SHA,2025-02-24,2025-04-22,50,2025
249600718,HAM-TAN-SHA,2025-02-24,2025-04-22,50,2025
249603486,HAM-TAN-SHA,2025-03-04,2025-04-26,50,2025
250404566,HAM-TAN-SHA,2025-03-03,2025-04-26,50,2025
250405877,HAM-TAN-SHA,2025-03-03,2025-04-26,50,2025
250405875,HAM-TAN-SHA,2025-03-03,2025-04-26,50,2025
249600717,HAM-TAN-SHA,2025-03-08,2025-05-01,50,2025
249603482,HAM-TAN-SHA,2025-03-08,2025-05-01,50,2025
249602786,HAM-TAN-SHA,2025-03-08,2025-05-01,50,2025
249603488,HAM-TAN-SHA,2025-03-17,2025-05-10,50,2025
249601410,HAM-TAN-SHA,2025-03-17,2025-05-10,50,2025
252159606,HAM-TAN-SHA,2025-03-17,2025-05-28,50,2025
249602785,HAM-TAN-SHA,2025-03-17,2025-05-10,50,2025
250353595,HAM-SIN-SHA,2025-03-31,2025-05-20,50,2025
250356360,HAM-NGB-SHA,2025-03-31,2025-05-24,50,2025
250355466,HAM-SIN-SHA,2025-03-31,2025-05-20,50,2025
250355471,HAM-SIN-SHA,2025-03-31,2025-06-22,50,2025
250354518,HAM-SHA,2025-04-06,2025-05-21,50,2025
250355478,HAM-SHA,2025-04-06,2025-05-21,50,2025
250354515,HAM-SHA,2025-04-06,2025-05-21,50,2025
250354520,HAM-SHA,2025-04-19,2025-06-06,50,2025
